target_id,p_joint,p_1d,p_2d,disagreement_1d,disagreement_2d
6696580,0.22965202,1.0,1.0,0.77034795,0.77034795
11669125,0.14233866,2.8198448e-08,1.0,0.14233863,0.85766137
7761545,0.11617771,5.01434e-13,1.0,0.11617771,0.8838223
12306058,0.17663944,1.06165236e-10,0.9999991,0.17663944,0.82335967
6422155,0.076736994,1.4606699e-06,0.999997,0.076735534,0.92326003
9401997,0.13581143,6.9089827e-09,1.0,0.13581143,0.86418855
8672910,0.20388113,1.0195164e-09,0.42150792,0.20388113,0.2176268
5631630,0.16191421,8.285294e-09,0.99999005,0.1619142,0.8380758
9285265,0.11787288,7.834463e-06,1.0,0.11786504,0.8821271
9100953,0.33449802,1.0,1.0,0.66550195,0.66550195
6975129,0.096081935,2.4337796e-09,1.0,0.096081935,0.9039181
9729691,0.056941677,1.705097e-09,1.0,0.056941677,0.9430583
12154526,0.15702085,2.8229108e-09,1.0,0.15702085,0.84297913
8613535,0.08314165,2.6556114e-19,0.99725753,0.08314165,0.9141159
9146018,0.1253557,7.201035e-21,1.0,0.1253557,0.8746443
12418724,0.18129282,0.9837542,1.0,0.8024614,0.81870717
12785320,0.15727933,2.7995206e-10,1.0,0.15727933,0.8427207
8609450,0.084887154,1.0,0.9999999,0.91511285,0.91511273
6026924,0.14674628,9.5543476e-11,1.0,0.14674628,0.8532537
11601584,0.112345465,1.057708e-12,0.99999994,0.112345465,0.8876545
8806072,0.1529383,3.839561e-11,0.998883,0.1529383,0.8459447
8160953,0.061796945,8.384577e-08,0.9938381,0.06179686,0.9320411
7534267,0.14907743,0.0008429403,1.0,0.14823449,0.8509226
6508221,0.12949084,0.00025301377,1.0,0.12923783,0.87050915
6037187,0.15243202,0.93228763,1.0,0.7798556,0.847568
9230021,0.27226806,1.0,0.9999999,0.72773194,0.7277318
3118797,0.29443616,0.99749494,0.99999964,0.7030588,0.7055635
11656918,0.15869103,4.2668384e-07,1.0,0.1586906,0.84130895
11720424,0.041660555,1.858421e-13,0.99999267,0.041660555,0.9583321
6268648,0.1755771,6.96961e-07,1.0,0.1755764,0.8244229
5562090,0.14765947,1.0,1.0,0.8523405,0.8523405
8806123,0.1230274,7.5465834e-08,1.0,0.123027325,0.8769726
5175024,0.13409309,5.2716434e-05,1.0,0.13404037,0.8659069
11669239,0.05953795,0.99943465,1.0,0.9398967,0.94046205
6448890,0.12802048,7.7797946e-13,1.0,0.12802048,0.87197953
8892157,0.13579336,8.7975076e-16,0.9999998,0.13579336,0.86420643
9447166,0.092105724,1.0733225e-07,1.0,0.09210562,0.90789425
11521793,0.16732095,2.8008907e-08,0.99998057,0.16732092,0.8326596
8240904,0.11531992,0.19552416,1.0,0.08020423,0.8846801
3120904,0.12621786,3.1458391e-10,1.0,0.12621786,0.87378216
7626506,0.13143584,5.3159016e-10,1.0,0.13143584,0.8685641
12066569,0.08653424,7.374976e-06,1.0,0.08652686,0.91346574
4175630,0.11911872,1.3913263e-15,0.99996555,0.11911872,0.88084686
6960913,0.08122533,5.863396e-06,0.99999964,0.081219465,0.9187743
5613330,0.11608186,3.808129e-06,1.0,0.11607806,0.88391817
7102227,0.123536065,2.5238926e-11,1.0,0.123536065,0.87646395
9828127,0.0993292,2.4127786e-08,1.0,0.09932918,0.90067077
6962977,0.31434035,1.0,1.0,0.68565965,0.68565965
8081187,0.090588346,1.27505375e-08,1.0,0.09058833,0.90941167
8890150,0.1247349,0.0013999463,0.99701273,0.12333495,0.87227786
8017703,0.11488672,8.141248e-14,1.0,0.11488672,0.8851133
2854698,0.15270148,3.5898283e-12,0.99857163,0.15270148,0.84587014
7663405,0.014994515,0.060424343,1.0,0.045429826,0.9850055
8417078,0.089720406,6.554707e-09,1.0,0.0897204,0.9102796
4282191,0.11326643,2.224587e-09,1.0,0.11326643,0.8867336
8077137,0.12661801,4.4759956e-13,1.0,0.12661801,0.873382
3966801,0.24202631,0.9673382,0.9952193,0.7253119,0.75319296
5351250,0.13276194,1.3355644e-12,0.9950612,0.13276194,0.86229926
8056665,0.1497474,6.4700316e-09,1.0,0.1497474,0.8502526
9244508,0.1553388,5.049329e-05,1.0,0.1552883,0.84466124
8959839,0.21833704,0.651224,0.99999756,0.43288696,0.7816605
7747425,0.11309883,7.9726414e-07,1.0,0.11309803,0.88690114
9787239,0.13969503,3.8596373e-10,0.9973906,0.13969503,0.8576956
7102316,0.17495772,3.0394688e-07,1.0,0.17495742,0.82504225
6678383,0.16756895,1.6197377e-10,1.0,0.16756895,0.8324311
3217264,0.16703491,2.9497037e-06,1.0,0.16703196,0.8329651
5183357,0.13426104,3.4849634e-10,1.0,0.13426104,0.865739
9965439,0.17276528,6.2966515e-10,1.0,0.17276528,0.82723475
6705026,0.22242768,1.0,0.99999976,0.77757233,0.7775721
9838468,0.119905606,8.073934e-10,0.9999986,0.119905606,0.88009304
9904006,0.07953284,3.041765e-08,1.0,0.07953281,0.92046714
