Threshold,Precision,Yield,False_Alarms
0.1,0.8870967741935484,110,14
0.2,0.9017857142857143,101,11
0.3,0.908256880733945,99,10
0.4,0.9333333333333333,98,7
0.5,0.9504950495049505,96,5
0.6,0.9595959595959596,95,4
0.7,0.9587628865979382,93,4
0.8,0.956989247311828,89,4
0.9,0.9555555555555556,86,4
