kepid,kepoi_name,koi_disposition
10232123,K01075.01,FALSE POSITIVE
10223616,K01076.01,FALSE POSITIVE
8415745,K01138.01,FALSE POSITIVE
8378634,K01139.01,FALSE POSITIVE
8397675,K01140.01,FALSE POSITIVE
8312852,K01143.01,FALSE POSITIVE
5738346,K01006.01,FALSE POSITIVE
1722276,K01008.01,FALSE POSITIVE
892772,K01009.01,FALSE POSITIVE
1027438,K01010.01,FALSE POSITIVE
10268907,K01077.01,FALSE POSITIVE
10153827,K01079.01,FALSE POSITIVE
8302450,K01144.01,FALSE POSITIVE
8299955,K01147.01,FALSE POSITIVE
9595686,K00944.01,FALSE POSITIVE
9661877,K00946.01,FALSE POSITIVE
5728283,K01011.01,FALSE POSITIVE
8127639,K01012.01,FALSE POSITIVE
6047498,K01013.01,FALSE POSITIVE
10158990,K01080.01,FALSE POSITIVE
8349405,K01149.01,FALSE POSITIVE
5297298,K00130.01,FALSE POSITIVE
8176653,K01016.01,FALSE POSITIVE
8183911,K01018.01,FALSE POSITIVE
8179973,K01019.01,FALSE POSITIVE
4649305,K00143.01,FALSE POSITIVE
10148521,K01084.01,FALSE POSITIVE
3124412,K01087.01,FALSE POSITIVE
10287248,K01152.01,FALSE POSITIVE
10351767,K01153.01,FALSE POSITIVE
10342041,K01155.01,FALSE POSITIVE
10514770,K01156.01,FALSE POSITIVE
2309719,K01020.01,FALSE POSITIVE
2558363,K01021.01,FALSE POSITIVE
2445154,K01023.01,FALSE POSITIVE
3113266,K01088.01,FALSE POSITIVE
3232859,K01090.01,FALSE POSITIVE
3098184,K01091.01,FALSE POSITIVE
2720309,K01092.01,FALSE POSITIVE
10342065,K01157.01,FALSE POSITIVE
10352945,K01158.01,FALSE POSITIVE
2574201,K01025.01,FALSE POSITIVE
2166206,K01028.01,FALSE POSITIVE
3239636,K01093.01,FALSE POSITIVE
3340070,K01097.01,FALSE POSITIVE
7661409,K00957.01,FALSE POSITIVE
10002261,K00959.01,FALSE POSITIVE
8176650,K00960.01,FALSE POSITIVE
5899544,K01034.01,FALSE POSITIVE
5963222,K01035.01,FALSE POSITIVE
5982353,K01036.01,FALSE POSITIVE
6205468,K01037.01,FALSE POSITIVE
8506766,K00138.01,FALSE POSITIVE
3240706,K01098.01,FALSE POSITIVE
3228824,K01100.01,FALSE POSITIVE
10341831,K01164.01,FALSE POSITIVE
10485179,K01167.01,FALSE POSITIVE
8892910,K00132.01,FALSE POSITIVE
10657664,K00964.01,FALSE POSITIVE
3337351,K00965.01,FALSE POSITIVE
6153201,K01038.01,FALSE POSITIVE
5802486,K01039.01,FALSE POSITIVE
5817553,K01040.01,FALSE POSITIVE
5982368,K01041.01,FALSE POSITIVE
5816811,K01042.01,FALSE POSITIVE
5816165,K01043.01,FALSE POSITIVE
6677256,K01243.01,FALSE POSITIVE
6692833,K01244.01,FALSE POSITIVE
7174351,K01365.01,FALSE POSITIVE
8801343,K01247.01,FALSE POSITIVE
8488878,K01248.01,FALSE POSITIVE
8560285,K01249.01,FALSE POSITIVE
8620565,K01250.01,FALSE POSITIVE
10785538,K01313.01,FALSE POSITIVE
7357531,K01368.01,FALSE POSITIVE
6185711,K00169.01,FALSE POSITIVE
8737796,K01252.01,FALSE POSITIVE
8462258,K01253.01,FALSE POSITIVE
8454250,K01254.01,FALSE POSITIVE
8848271,K01256.01,FALSE POSITIVE
4275739,K01317.01,FALSE POSITIVE
6878167,K01371.01,FALSE POSITIVE
