target_id,true_label_str,period,mean_confidence,max_disagreement,prob_1d,prob_2d
tess2024223182411,confirmed_planet,,0.57722473,1.156205266714096,1.0,0.0
tess2022190063128,confirmed_planet,,0.5957914,1.272462159395218,1.0,0.0
tess2022164095748,confirmed_planet,,0.608878,1.226901575922966,1.0,0.0
tess2022190063128,confirmed_planet,,0.5753465,1.259287804365158,1.0,0.0
tess2024223182411,confirmed_planet,,0.56521124,1.3485932052135468,1.0,0.0
tess2024003055635,confirmed_planet,,0.55869585,1.2771177887916565,1.0,0.0
tess2024223182411,confirmed_planet,,0.58426917,1.0428876653313637,1.0,0.06282532215118408
tess2024003055635,confirmed_planet,,0.56119764,1.227103665471077,1.0,0.0
tess2021175071901,confirmed_planet,,0.34457514,1.304096668958664,0.9966235160827637,0.0
tess2024223182411,confirmed_planet,,0.5834222,1.2571239173412323,1.0,0.0
tess2024030031500,confirmed_planet,,0.59789854,1.3073408901691437,1.0,0.0
tess2024003055635,confirmed_planet,,0.47361422,1.5576072335243225,1.0,0.0
tess2024058030222,confirmed_planet,,0.58187574,1.1956463009119034,1.0,0.0
tess2024196212429,confirmed_planet,,0.5941508,1.3312078714370728,1.0,0.0
tess2024030031500,confirmed_planet,,0.5755192,1.133414089679718,1.0,0.008812189102172852
tess2024196212429,confirmed_planet,,0.5981624,1.1650083363056183,1.0,0.015658259391784668
tess2024249191853,confirmed_planet,,0.58047116,1.3453646302223206,1.0,0.0
tess2021204101404,confirmed_planet,,0.5870316,1.186114713549614,1.0,0.0
tess2024196212429,confirmed_planet,,0.5828317,1.3187422156333923,1.0,0.0
tess2024249191853,confirmed_planet,,0.4510483,1.1713614165782928,1.0,0.0
tess2021204101404,confirmed_planet,,0.5985677,1.1932635009288788,1.0,0.0019359588623046875
tess2024170053053,confirmed_planet,,0.5957855,1.2655069828033447,1.0,0.0
tess2024196212429,confirmed_planet,,0.59876984,1.2744826972484589,1.0,0.0
tess2021204101404,confirmed_planet,,0.5762168,1.2781365513801575,1.0,0.0
tess2024223182411,confirmed_planet,,0.6097003,1.2648614645004272,1.0,0.0
tess2021204101404,confirmed_planet,,0.590469,1.1374584883451462,1.0,0.02173978090286255
tess2024030031500,confirmed_planet,,0.53878367,1.2319868355989456,1.0,0.0
tess2024170053053,confirmed_planet,,0.5116457,1.3169590830802917,1.0,0.0
tess2024196212429,confirmed_planet,,0.60922533,1.20455002784729,1.0,0.006950318813323975
tess2022164095748,confirmed_planet,,0.58681095,1.162488803267479,1.0,0.005566537380218506
tess2024196212429,confirmed_planet,,0.5530993,1.4295687079429626,1.0,0.0
tess2024223182411,confirmed_planet,,0.59024584,1.162573054432869,1.0,0.008959293365478516
tess2022164095748,confirmed_planet,,0.652955,0.9806004371494055,1.0,0.1626547873020172
tess2024030031500,confirmed_planet,,0.6012429,1.1753365099430084,1.0,0.013574659824371338
tess2024223182411,confirmed_planet,,0.57931674,1.4199701845645905,1.0,0.0
tess2024196212429,confirmed_planet,,0.5879935,1.0874398574233055,1.0,0.044273555278778076
tess2023341045131,confirmed_planet,,0.48895997,1.3066155314445496,1.0,0.0
tess2024003055635,confirmed_planet,,0.5871906,1.1909543871879578,1.0,0.0
