target_id,true_label,period,p_joint,p_1d,p_2d,disagreement
tess2024003055635,confirmed_planet,10.019039923318463,0.63051164,1.0,0.0042188167572021484,0.9957811832427979
tess2024196212429,confirmed_planet,5.940475702196545,0.5985566,1.0,0.06442475318908691,0.9355752468109131
tess2024223182411,confirmed_planet,10.2382135371783,0.6162493,1.0,0.0,1.0
tess2024249191853,confirmed_planet,9.788289287925906,0.5801534,1.0,0.0,1.0
tess2024030031500,confirmed_planet,13.608217197628443,0.59615827,1.0,0.0,1.0
tess2019198215352,confirmed_planet,5.397378567840663,0.5776923,1.0,0.10547366738319397,0.8945263624191284
tess2022190063128,confirmed_planet,1.259632323936515,0.5850376,1.0,0.0,1.0
tess2021204101404,confirmed_planet,10.84880192802967,0.60310733,1.0,0.02621394395828247,0.9737860560417175
tess2022164095748,confirmed_planet,10.185505270439918,0.62098485,1.0,0.09824246168136597,0.901757538318634
tess2022217014003,confirmed_planet,13.407464330008843,0.6059396,1.0,0.09426403045654297,0.905735969543457
tess2024170053053,confirmed_planet,1.3925734867263142,0.56742054,1.0,0.03166842460632324,0.9683315753936768
tess2021175071901,confirmed_planet,4.893156401390403,0.41891548,1.0,0.0,1.0
tess2024058030222,confirmed_planet,9.895442428206465,0.58187574,1.0,0.0,1.0
tess2023341045131,confirmed_planet,1.4814496758354636,0.48895997,1.0,0.0,1.0
tess2019226182529,confirmed_planet,3.0342473166976487,0.55649465,1.0,0.0,1.0
tess2020160202036,confirmed_planet,2.0134807690038503,0.6069331,1.0,0.0,1.0
tess2022244194134,confirmed_planet,8.341544707743028,0.57730246,1.0,0.0010250210762023926,0.9989749789237976
10657406,false_positive,15.877400840297923,0.06715714,0.6699173450469971,0.0,0.6699173450469971
11554435,false_positive,5.460957285381544,0.3390473,0.9423622488975525,0.0,0.9423622488975525
10854555,false_positive,31.222082682282267,0.098192304,0.7073010206222534,0.0,0.7073010206222534
11651712,false_positive,11.381593680489694,0.20925747,0.818010687828064,0.0,0.818010687828064
10386984,false_positive,12.82312724308433,0.56831026,1.0,0.017896533012390137,0.9821034669876099
10864656,false_positive,12.305820665665669,0.53095156,1.0,0.0,1.0
11285870,false_positive,43.84983993899202,0.12880132,0.7931650876998901,0.0,0.7931650876998901
11127479,false_positive,14.808211941618376,0.24672319,0.852125346660614,0.0,0.852125346660614
11283615,false_positive,21.43693892792794,0.09877395,0.7746860980987549,0.0,0.7746860980987549
10601284,false_positive,10.344115658286716,0.12737465,0.9034119248390198,0.0,0.9034119248390198
10843590,false_positive,28.375238429879865,0.07894993,0.6982717514038086,0.0,0.6982717514038086
10528068,false_positive,16.46756965949979,0.3058951,1.0,0.0,1.0
11126381,false_positive,12.4454652498999,0.07115439,0.6503565907478333,0.0,0.6503565907478333
11457726,false_positive,5.374171566063151,0.14245102,0.6930050849914551,0.0,0.6930050849914551
11037511,false_positive,13.034252321271255,0.17972675,0.8550742864608765,0.0,0.8550742864608765
11499228,false_positive,31.10699133593595,0.1829852,0.9464795589447021,0.0,0.9464795589447021
11133306,false_positive,41.76195439339334,0.11208466,0.7403011322021484,0.0,0.7403011322021484
11656246,false_positive,47.432218842842815,0.24151376,0.8059760332107544,0.0,0.8059760332107544
10963242,false_positive,28.764554606412975,0.48521692,1.0,0.0,1.0
11601584,false_positive,41.65640434353853,0.20620856,0.800139307975769,0.0,0.800139307975769
10723750,false_positive,35.751731505405395,0.19097815,0.787570059299469,0.0,0.787570059299469
