target_id,period,true_label,prob_joint,prob_1d,prob_2d,disagreement
10657406,34.1732156,CANDIDATE,0.06715714,0.07278460264205933,0.061529677361249924,0.011254929
11651712,14.53260546,CANDIDATE,0.20925747,0.2392827868461609,0.1792321503162384,0.060050644
11285870,4.48494315,CANDIDATE,0.12880132,0.15950773656368256,0.0980948954820633,0.061412834
10601284,5.349553819,CANDIDATE,0.12737465,0.16863469779491425,0.08611460030078888,0.08252009
10528068,158.6850022,CANDIDATE,0.3058951,0.37264153361320496,0.23914864659309387,0.13349287
11457726,6.22161107,CANDIDATE,0.14245102,0.1911713033914566,0.09373073279857635,0.09744056
10963242,6.1469956,CANDIDATE,0.48521692,0.5510187745094299,0.41941505670547485,0.13160369
11601584,51.8098276,CANDIDATE,0.20620856,0.28240031003952026,0.13001680374145508,0.15238349
10388286,1.682695938,CANDIDATE,0.10419283,0.11172857880592346,0.09665708243846893,0.015071496
11288505,19.80787763,CANDIDATE,0.18581817,0.20886842906475067,0.1627679020166397,0.046100527
10388286,1.682695938,CANDIDATE,0.08828342,0.0986594706773758,0.07790736854076385,0.020752102
10937029,4.030466786,CANDIDATE,0.11134709,0.11399386078119278,0.10870031267404556,0.005293548
11122894,74.92768653,CANDIDATE,0.05864036,0.07979930192232132,0.03748141974210739,0.04231788
10525077,11.006795,CANDIDATE,0.106710024,0.12379059195518494,0.08962945640087128,0.034161143
10538176,12.69905011,CANDIDATE,0.12597485,0.14165833592414856,0.11029136180877686,0.03136698
10214162,17.42393582,CANDIDATE,0.21044862,0.2231280505657196,0.1977691948413849,0.025358856
11611275,6.94245216,CANDIDATE,0.14668839,0.18135419487953186,0.11202258616685867,0.0693316
11250587,7.256962446,CANDIDATE,0.11547287,0.12204483151435852,0.10890090465545654,0.013143934
10910878,16.06864674,CANDIDATE,0.16514754,0.2168135941028595,0.11348149180412292,0.10333211
10157458,7.33685101,CANDIDATE,0.17546989,0.21658214926719666,0.13435763120651245,0.082224526
10577994,8.1808949,CANDIDATE,0.15863597,0.19094279408454895,0.12632915377616882,0.06461363
11455181,10.9294815,CANDIDATE,0.2469859,0.3602584898471832,0.13371330499649048,0.22654517
10684670,3.78861833,CANDIDATE,0.17172134,0.19616079330444336,0.14728188514709473,0.04887891
10795103,214.3120439,CANDIDATE,0.23965465,0.31087738275527954,0.16843190789222717,0.14244547
10123064,4.243748097,CANDIDATE,0.15000154,0.15071503818035126,0.14928804337978363,0.0014269948
10253547,59.9809868,CANDIDATE,0.104153246,0.10568685829639435,0.10261963307857513,0.0030672252
10153855,1.06378861,CANDIDATE,0.040309,0.0682656317949295,0.012352369725704193,0.055913262
11015323,34.18884323,CANDIDATE,0.18953578,0.19036176800727844,0.1887097954750061,0.0016519576
11394027,14.38682567,CANDIDATE,0.083615676,0.0938924103975296,0.07333894073963165,0.02055347
10098844,47.4497134,CANDIDATE,0.24144888,0.2973349690437317,0.18556280434131622,0.11177216
10864656,52.5008645,CANDIDATE,0.120477535,0.16255906224250793,0.07839600741863251,0.08416305
11551692,7.834433676,CANDIDATE,0.12200288,0.137128546833992,0.10687720775604248,0.030251332
10879038,4.8538404,CANDIDATE,0.23316908,0.2883983850479126,0.177939772605896,0.1104586
10028535,0.663085361,CANDIDATE,0.064928666,0.06857229024171829,0.06128504127264023,0.007287249
10554999,6.400157105,CANDIDATE,0.27706215,0.35793474316596985,0.19618955254554749,0.16174518
10963065,2.465024332,CANDIDATE,0.119274125,0.13037210702896118,0.10817614197731018,0.022195965
10028535,0.663085361,CANDIDATE,0.0362324,0.06342141330242157,0.009043388068675995,0.054378025
10330115,13.21409607,CANDIDATE,0.18161015,0.18501093983650208,0.1782093644142151,0.0068015754
10525077,11.006795,CANDIDATE,0.20073803,0.2637791037559509,0.13769693672657013,0.12608218
11122894,74.92768653,CANDIDATE,0.11835628,0.1440911889076233,0.09262137860059738,0.051469803
10538176,12.69905011,CANDIDATE,0.17449076,0.1966797113418579,0.1523018181324005,0.044377893
10874614,3.234699282,CANDIDATE,0.05698224,0.06392861902713776,0.050035860389471054,0.013892762
11125797,58.1263775,CANDIDATE,0.09518059,0.0968572199344635,0.09350396692752838,0.003353253
11391018,30.360445359,CANDIDATE,0.020297348,0.054268769919872284,0.0,0.06794284
10213902,59.6222627,CANDIDATE,0.13798422,0.15029223263263702,0.1256761997938156,0.02461604
10779233,201.118319,CANDIDATE,0.03403326,0.06790358573198318,0.0001629367470741272,0.06774065
10525027,3.27344784,CANDIDATE,0.068640165,0.07279233634471893,0.0644879937171936,0.008304335
10587105,1.980356674,CANDIDATE,0.17456698,0.18397170305252075,0.16516226530075073,0.018809438
11253711,17.79108667,CANDIDATE,0.10305429,0.1606035977602005,0.04550498351454735,0.11509862
10397751,3.4462125,CANDIDATE,0.157028,0.1727597862482071,0.14129622280597687,0.031463556
10717241,12.37646897,CANDIDATE,0.05891965,0.06437236070632935,0.05346693471074104,0.01090543
10586004,15.79196594,CANDIDATE,0.24430683,0.30268895626068115,0.1859247237443924,0.11676422
10718726,3.595769013,CANDIDATE,0.1210494,0.1553507298231125,0.08674806356430054,0.06860266
10666592,2.204735417,CANDIDATE,0.062012438,0.08685259521007538,0.037172283977270126,0.049680308
10328458,2.352273912,CANDIDATE,0.20236507,0.24287986755371094,0.16185027360916138,0.08102958
11153539,4.49876511,CANDIDATE,0.024463601,0.049180254340171814,0.0,0.049433302
11624249,1.82708193,CANDIDATE,0.22867876,0.2967894673347473,0.16056805849075317,0.1362214
