target_id,period,true_label,prob_1d,prob_2d,disagreement
0000000184418214,,SKIPPED_METADATA_MISSING,,,
0000000063373862,,SKIPPED_METADATA_MISSING,,,
0000000027318774,3.2432488,CANDIDATE,0.3897116482257843,0.4296717047691345,0.03996005654335022
0000000027007509,,SKIPPED_METADATA_MISSING,,,
0000000399954349,7.8344688,CANDIDATE,0.1885392665863037,0.4150708019733429,0.22653153538703918
0000000137154728,,SKIPPED_METADATA_MISSING,,,
0000000237158408,,SKIPPED_METADATA_MISSING,,,
0000000240178935,,SKIPPED_METADATA_MISSING,,,
0000000137211068,,SKIPPED_METADATA_MISSING,,,
0000000298834019,,SKIPPED_METADATA_MISSING,,,
0000000063005636,,SKIPPED_METADATA_MISSING,,,
0000000123447451,,SKIPPED_METADATA_MISSING,,,
0000000424815791,,SKIPPED_METADATA_MISSING,,,
0000000416279965,,SKIPPED_METADATA_MISSING,,,
0000000299161524,,SKIPPED_METADATA_MISSING,,,
0000000271970692,,SKIPPED_METADATA_MISSING,,,
0000000121943724,,SKIPPED_METADATA_MISSING,,,
0000000271052158,5.9605542,CANDIDATE,0.3939136564731598,0.43833258748054504,0.044418931007385254
0000000290035455,,SKIPPED_METADATA_MISSING,,,
0000000048448369,4.878924571592041,CANDIDATE,0.3485938012599945,0.42887088656425476,0.08027708530426025
0000000120043084,,SKIPPED_METADATA_MISSING,,,
0000000273383120,,SKIPPED_METADATA_MISSING,,,
0000000270615136,,SKIPPED_METADATA_MISSING,,,
0000000158489095,,SKIPPED_METADATA_MISSING,,,
0000000273499989,,SKIPPED_METADATA_MISSING,,,
0000000158487108,,SKIPPED_METADATA_MISSING,,,
0000000120253745,,SKIPPED_METADATA_MISSING,,,
0000000264508014,3.3119026,CANDIDATE,0.2371782809495926,0.44615864753723145,0.20898036658763885
0000000121114760,,SKIPPED_METADATA_MISSING,,,
0000000271158747,,SKIPPED_METADATA_MISSING,,,
0000000158936201,,SKIPPED_METADATA_MISSING,,,
0000000048352404,,SKIPPED_METADATA_MISSING,,,
0000000026493559,,SKIPPED_METADATA_MISSING,,,
0000000121865123,,SKIPPED_METADATA_MISSING,,,
0000000027186509,,SKIPPED_METADATA_MISSING,,,
0000000122069243,,SKIPPED_METADATA_MISSING,,,
0000000271352188,,SKIPPED_METADATA_MISSING,,,
0000000352011875,6.2468813,CANDIDATE,0.3426538407802582,0.4438028633594513,0.10114902257919312
0000000350810590,,SKIPPED_METADATA_MISSING,,,
0000000138364751,,SKIPPED_METADATA_MISSING,,,
0000000184166357,,SKIPPED_METADATA_MISSING,,,
0000000268159158,4.7082414,CANDIDATE,0.2965373992919922,0.4458164572715759,0.14927905797958374
0000000159226202,,SKIPPED_METADATA_MISSING,,,
0000000164727404,,SKIPPED_METADATA_MISSING,,,
0000000272178989,,SKIPPED_METADATA_MISSING,,,
0000000063372898,,SKIPPED_METADATA_MISSING,,,
0000000270954695,,SKIPPED_METADATA_MISSING,,,
