target_id,period,true_label,prob_joint,prob_1d,prob_2d,disagreement
10657406,15.877400840297923,0,0.06715714,0.079679795,0.09093472,0.011254929
11554435,5.460957285381544,0,0.3390473,0.11819261,0.31763625,0.19944364
11651712,11.381593680489694,0,0.20925742,0.18456316,0.124512516,0.060050644
10386984,12.82312724308433,0,0.56831026,0.28937513,0.43279397,0.14341885
10864656,13.050563933833837,0,,1.0,,
11285870,43.84983993899202,0,0.12880169,0.0905242,0.1519368,0.061412603
11127479,14.808211941618376,0,0.24672319,0.17693065,0.15635782,0.020572826
10601284,10.344115658286716,0,0.12737232,0.16379322,0.08127581,0.08251741
10528068,16.46756965949979,0,0.30589506,0.26702732,0.13353457,0.13349275
11457726,5.374171566063151,0,0.14245102,0.18015093,0.08271036,0.09744056
10963242,28.764554606412975,0,0.48520693,0.34634933,0.21476683,0.1315825
11601584,41.65640434353853,0,0.20620859,0.23946795,0.08708441,0.15238354
10388286,38.70303741972446,0,0.10419332,0.1135762,0.09850416,0.01507204
10713616,2.9883756596596602,0,,0.13055299,,
11288505,19.82665383843953,0,0.18581372,0.16789669,0.12180035,0.04609634
10264660,2.9786223114114128,0,,0.13900508,,
10937029,4.030333446928678,0,0.11134862,0.11205393,0.10675876,0.0052951723
11122894,33.25446508499629,0,0.058637757,0.061021898,0.103342526,0.042320628
11401755,8.037488965041279,0,0.14396745,0.09693971,0.15823044,0.061290726
10525077,1.8139441420567706,0,0.10670575,0.12536122,0.09120531,0.034155913
10984090,2.9842791891891918,0,,0.27022797,,
10538176,12.703302124621343,0,0.12597221,0.13344263,0.10207837,0.031364255
10285631,2.98839646096096,0,,0.12331999,,
11086270,12.68657500816817,0,0.33668944,0.18781202,0.21191253,0.024100512
10214162,17.40637660515644,0,0.21044862,0.13983679,0.16519564,0.025358856
10187017,1.524096701201197,0,,0.12582383,,
11611275,9.985838519914976,0,0.14668839,0.16464734,0.09531574,0.0693316
11250587,3.942607222227763,0,0.11547287,0.118145674,0.10500174,0.013143934
10910878,16.066407572681662,0,0.16514423,0.19400826,0.090680055,0.103328206
10157458,1.787682994670648,0,0.17546992,0.18459588,0.10237136,0.082224526
11391957,2.988376730230231,0,,0.11341699,,
10577994,48.76679122985885,0,0.15863599,0.16676193,0.1021483,0.06461363
11455181,44.41594582109984,0,0.2469859,0.29936105,0.07281588,0.22654517
10684670,12.748990576735252,0,0.17172135,0.16304617,0.11416727,0.048878893
