file,transit_count,period,radius_earth,semi_major_axis_au,equilibrium_temp_k,size_category,period_category
,1,8.95,7.53,,,Jupiter-sized,3-10 days
,1,8.44,140.7,,,Super-Jupiter,3-10 days
,1,9.5,142.32,,,Super-Jupiter,3-10 days
,1,88.09,9.11,,,Jupiter-sized,30-100 days
,1,1.24,1646.98,,,Super-Jupiter,<3 days
,1,36.87,2.72,,,Neptune-sized,30-100 days
,1,10.83,105.95,,,Super-Jupiter,10-30 days
,1,11.25,322.8,,,Super-Jupiter,10-30 days
,1,96.78,3.87,,,Neptune-sized,30-100 days
,1,10.63,317.5,,,Super-Jupiter,10-30 days
,1,12.78,182.14,,,Super-Jupiter,10-30 days
,1,11.6,209.84,,,Super-Jupiter,10-30 days
,1,20.4,8.35,,,Jupiter-sized,10-30 days
,1,11.1,3.6,,,Neptune-sized,10-30 days
,1,49.05,3.91,,,Neptune-sized,30-100 days
,1,7.84,126.25,,,Super-Jupiter,3-10 days
,1,13.41,480.48,,,Super-Jupiter,10-30 days
,1,30.05,5.14,,,Jupiter-sized,30-100 days
,1,3.22,106.7,,,Super-Jupiter,3-10 days
,1,47.99,8.8,,,Jupiter-sized,30-100 days
,1,69.23,6.54,,,Jupiter-sized,30-100 days
,1,12.33,496.02,,,Super-Jupiter,10-30 days
,1,11.88,121.27,,,Super-Jupiter,10-30 days
,1,10.09,336.94,,,Super-Jupiter,10-30 days
,1,39.52,576.58,,,Super-Jupiter,30-100 days
,1,3.35,84.37,,,Super-Jupiter,3-10 days
,1,8.86,206.4,,,Super-Jupiter,3-10 days
,1,60.86,4.38,,,Jupiter-sized,30-100 days
,1,1.24,65.11,,,Super-Jupiter,<3 days
,1,5.95,100.64,,,Super-Jupiter,3-10 days
,1,43.88,8.06,,,Jupiter-sized,30-100 days
,1,40.37,5.78,,,Jupiter-sized,30-100 days
,1,97.82,1.74,,,Super-Earth,30-100 days
,1,7.58,403.99,,,Super-Jupiter,3-10 days
,1,2.3,142.18,,,Super-Jupiter,<3 days
,1,66.2,3.41,,,Neptune-sized,30-100 days
,1,21.57,6.55,,,Jupiter-sized,10-30 days
,1,12.16,154.17,,,Super-Jupiter,10-30 days
