target_id,period
384549882,0.30412
16288184,2.1805333
144065872,2.1846669
66818296,3.7354838
259863352,21.701669
317060587,9.139804
112395568,5.742625
366989877,15.5077855
320004517,17.4713078
421894914,5.3079507
323132914,51.1701501
31553893,11.1296441
380783252,9.4496506
38846515,2.8493825
101230735,2.0685633
253990973,0.540933
299799658,4.1150576
406976746,10.0665238
79748331,6.4438657
79748331,12.2265595
7088246,2.160344
201604954,4.606184
201642601,3.1316735
6663331,3.180362
31858843,2.9776446
92352620,3.9502008
31858844,2.9776152
120247528,3.5544026
140830390,12.8379689
158297421,3.9228016
327301957,13.9428705
351601843,0.6047392
360742636,2.5495611
369960846,1.6062693
50365310,2.1713484
88863718,1.9316462
124709665,1.8675574
106997505,2.74323
238597883,3.5730141
169904935,4.5505945
156115721,2.5047918
65212867,6.9989206
440801822,2.0483755
107782586,1.9600277
231663901,1.4303699
139853601,0.6808702
114018671,2.4705036
427508467,0.884182
97700520,5.4255548
96246348,1.4095184
155044736,1.3730466
175310067,12.6889415
182943944,1.10422
291555748,4.95912
341420329,5.2341008
149603524,4.4119378
140706664,3.28892
143994283,1.90879
47384844,3.09574
238374636,1.3214483
141482386,18.0157
297967252,9.6837908
388624270,14.2628757
20318757,3.2834565
20318757,11.02875
20318757,5.0113292
447283466,1.01606
374908020,36.22214
336732616,3.547854
464296022,12.1246519
304021498,5.652623
146589986,5.6643704
149601557,29.0161646
400595342,3.6404389
361413119,6.0744477
146172354,3.7795212
363260203,1.2025238
90544017,3.2235985
461867584,4.420125
231670397,4.0872956
310483807,2.55555
385624852,8.30792
360286627,0.758082
90448944,1.4415577
463402815,1.0085089
54044474,3.7039994
309787037,1.3042553
370745311,0.62627
382331352,11.47606
136274063,0.5971314
375223080,1.4821386
375225453,0.9209526
360630575,9.188506
360630575,13.9028391
383390264,10.1826983
290348383,6.441006
281459670,3.1743504
318608749,20.0731588
271581073,2.66903
311890977,6.63371
351603103,2.94308
451599528,341.2791676
274151135,10.8680523
384513078,11.1149
394561119,4.0782392
295599256,7.14386
50309953,7.04083
355703913,2.1061569
446549905,2.4545635
412014494,11.4756978
369864738,2.78186
290348382,6.4410082
409934330,2.4887726
379286801,4.45199
304100538,5.0100708
295541511,2.2281625
90919952,4.13812
261369656,10.95663
388104525,2.4997996
143257766,1.66226
24094603,4.07611
304774444,3.6245513
469782185,1.20928
128790976,3.5187707
80166433,0.7724825
405862830,1.6268695
269450900,2.32439
425721385,13.5499
91576611,4.43651
97409519,3.372877
254113311,8.34998
254113311,4.0686405
198213332,0.5860366
267489265,1.5502952
69997672,1.80709
122220263,18.6922101
154872375,8.0277326
142276270,12.5187279
142276270,6.2586065
142276270,26.3208756
142276270,18.795547
89389197,1.3206356
370133522,0.5182425
379240073,3.1644075
289793076,3.0440495
161032923,3.9652485
253728991,2.98278
261108236,16.3469053
322270620,12.9802953
380589029,1.3484961
381979901,3.2541181
468148930,3.7178828
426077080,9.30992
343648136,1.15395
129319156,4.73703
29344935,2.76676
361034196,2.19296
193413306,1.725841
387079085,1.1923
459970307,21.745537
161450762,1.32003
117256577,1.6865822
147576037,13.0727479
379931600,2.9258727
48188920,0.73774
238176110,2.7985802
89510024,2.3664127
158324245,1.7635881
13419950,7.3166682
375542276,3.0771612
16102323,3.2077145
458478250,2.2552845
138361973,1.8824539
232967666,15.196
41330864,2.1358631
302518439,6.7075429
322307342,3.5862962
294176967,1.8296155
101929303,11.1876137
1717732429,7.8513949
232967440,7.0643978
154089169,8.9534775
30329585,7.5022708
230088370,14.0077666
169177766,1.692892
359496368,2.6652007
148914726,1.2615323
266980320,6.0344667
158002130,9.6867516
229510866,2.1031647
341544930,7.6416041
258777137,5.9294088
233087860,5.7484439
83210867,1.1967018
289539327,11.2464616
372757221,2.5941968
15247229,8.5112
112026224,3.9687994
278683844,5.5411114
278683844,10.6917268
287196418,3.6950015
237185205,15.7335693
158276040,45.9403293
89643259,2.2219839
147950620,2.3106428
24364065,4.05135
69068526,5.5376617
92677094,4.5960377
203189770,3.612771
99869022,3.6714717
394137592,11.535076
288185138,0.8352406
29960110,2.4919771
327017634,
23434737,25.5195307
467666275,1.3812115
110428269,0.64971
202563254,4.4780798
25155310,3.2887898
320525204,13.7431084
159510109,16.9487087
284450803,3.3686634
160268701,11.2071839
28230919,4.8878037
350995812,2.97164
21755546,0.660179
288391628,10.9278415
349827430,5.5514888
117789567,2.3202418
281541555,4.7423709
16740101,1.4810903
69679391,3.4741012
237184773,6.5011911
154840461,6.0360758
294781547,13.7738265
294981566,1.9142544
231702397,5.0780325
319259194,70.3607265
349095149,91.6827832
374997123,10.1944993
382437043,14.64319
299798795,4.1782656
299798795,17.9453645
150428703,13.896396
150428703,8.1213102
177115354,3.9287851
360156606,27.3613778
300038935,29.0497517
140760434,31.8132264
290131778,3.3088922
287156968,25.0571312
447061717,24.2454967
364395234,14.2545623
260647166,14.1758947
260647166,19.5901578
260647166,6.2036219
260647166,3.79589
90504905,2.2645386
103633434,3.4447015
120757718,3.0300715
120960812,12.72038
120960812,6.238755
153951307,3.2947689
153951307,0.7645807
154716798,12.6396982
29831208,1.8428078
287776397,2.3922703
308034948,0.831542
364393429,2.6282553
273985865,3.4239436
273985865,10.983042
273985865,17.726449
30037565,40.7199388
207081058,14.7741056
33878688,79.3739596
50312495,18.1663644
389924075,105.5850893
399144800,27.2149622
451606970,19.1807264
453260209,1.2124493
141527965,4.5541831
248092710,41.4856125
52368076,
233059608,1.4415044
233120979,5.9630544
233211762,1.1219715
233684822,4.6756655
236714379,1.0180114
237222864,10.288886
274762761,1.0332441
278348461,5.4526479
288132261,10.2613397
288735205,3.4779776
70440470,3.0354017
355867695,3.1274634
355867695,7.4931613
355867695,49.825166
356311210,18.0574016
365938305,20.8774413
406672232,1.0214555
416195870,2.7441672
424865156,2.2047452
467179528,10.8948421
467179528,18.8016111
158561566,6.7900981
142394656,8.157721
198241702,4.2529641
198241702,9.2378703
234523599,3.7955178
237200747,14.3034613
286923464,6.1349783
417948359,3.3159772
445859771,4.6313014
459969957,19.3203478
13499636,11.3246821
43064903,6.261169
153949511,
153949511,14.8559691
163539739,14.4751062
224297258,9.6141636
391949880,4.9404714
230017324,9.6926392
232971294,6.390888
236445129,0.9689927
266593143,10.338505
267561446,1.283251
274662200,1.2284388
277507814,0.6166953
352764091,9.6001126
365733349,2.6998294
408203470,0.581322
158170594,1.7208555
159107668,4.7802597
198212955,0.3814849
219698776,4.6595169
219850915,6.4002807
229781583,4.8204512
230127302,18.6548829
230127302,4.3074513
230127302,5.9041278
230127302,37.9251983
232540264,15.9234883
232612416,4.3601536
232976128,13.0791581
52368076,4.6517186
52368076,9.1549418
52368076,19.9815709
232679662,7.8513774
233735068,7.6869063
236815160,2.534612
277014266,1.3797091
287190564,1.49861
235037761,6.2407826
294179389,2.6796
378159598,6.1406417
405904232,11.0765063
11111899,0.6193401
136848581,2.6400663
137284119,2.5778717
15565627,3.80509
165523947,2.99041
167092385,4.9865029
167098530,0.890967
89020549,2.1096805
167403519,3.9729429
195199644,1.19888
240450679,3.37644
256886630,2.03905
266688542,2.9424142
274942910,1.0793011
275111900,8.0428575
312083267,3.9392211
330332501,4.0157492
345996087,2.01976
219338557,8.1995368
357457104,1.748054
387664866,2.65646
387664868,2.65688
395171208,4.7201912
42123111,4.03349
89759617,3.3295394
92783821,3.8615978
160708862,3.3448312
260128333,95.174
269701147,8.8803281
269701147,28.580474
269701147,38.3511223
234994474,1.4015183
233681149,8.5874668
233390838,6.4474918
256621916,1.4136455
358631536,3.4040139
1400770435,13.7432169
160487753,8.47134
219852882,5.5025577
219852882,1.7622537
229747848,0.8474218
